title,postedAt,description,url,fixedPriceBudget,contractType,tags,hourlyRate
Scrape 1.8M Start Engine Investor List,5 minutes ago,"At Farm To Flame Energy, we provide affordable and renewable energy to the masses while becoming the best versions of ourselves.

We need you to scrape the StartEngine website (startengine.com) for the following data on their 1,800,000 investors:

-First and Last Name
-LinkedIn Profile URL
-Email Address
-Profession
-Industry 
-Location (City, State, Country)

If you get this done by today 4/21/2024, you get $170",/jobs/span-class-highlight-Scrape-span-Start-Engine-Investor-List_~01d27bb53d0878bc86/?referrer_url_path=/nx/search/jobs,$150.00,Fixed price,"W;e;b; ;S;c;r;a;p;i;n;g;,;D;t;L;d;G;o;M;s;f;E;x;l;P"
Web research and Linkedin list building,1 hour ago,"Build a list of target companies current employees and past employees from LinkedIn, Sales Navigator and or Zoominfo.

This will start with more senior employees to limit scope,

C Level and VP/Director Level

This will be limited to top 20 current and previous employees start in most senior roles.

Categorize company employee by role, location and date of current and previous employment as well as current employment if past employee going back 3 years.

Research previous role prior to employment/hire by current company and term of employment is years/months.

Research each current  and past Sr Employee Social Media Profiles, LinkedIn, Twitter/X, Facebook and YouTube as well as podcasts to understand their social profile and thought leadership.

Provide email and phone numbers if possible.",/jobs/Web-research-and-Linkedin-list-building_~0161c0f329e3247dfe/?referrer_url_path=/nx/search/jobs,,Hourly: $5.00 - $10.00,"D;a;t; ;S;c;r;p;i;n;g;,;L;s;B;u;l;d;O;e;R;h;M;o;E;y;C;m;k;+;3",$5.00 - $10.00
Build a list of Clearance Stock Traders in UK & Europe,1 hour ago,"We need a comprehensive list with contact email addresses as a minimum for all stockists of clearance stock traders in UK & EU. There will be potential bonusses for further details such as manager names, emails or contact numbers - to be agreed. We will offer milestones to establish the quality of data and understanding of the brief.",/jobs/Build-list-Clearance-Stock-Traders-Europe_~0111d0e7548db2ae40/?referrer_url_path=/nx/search/jobs,$105.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;k;R;s;h;B;u;l;E;y;P;C;m;+;2",
List Builder for Data Entry (Leadgen),2 hours ago,"Hi. 

We are looking for someone who can give us a Prospectlist. 
You need to scrape certain Social Media Sites and provide us with USERNAME, NAME and EMAIL ADRESS from Prospects who might be interested. 
We have a fixed Budget and we require a Sample List. (paid)
If we are happy with your Work this definetly can become a longterm Work Relationship. 
Please contact us if you think think you can help us building this List. Be aware we will ask for a certain Lead (Prospect) price!

We are looking forward to hear fro you!",/jobs/List-Builder-for-Data-Entry-Leadgen_~0134641800125e7934/?referrer_url_path=/nx/search/jobs,$500.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;s;B;u;l;P",
Need data Scraped from web into an Xl.,2 hours ago,"I want to create a lead form for my startup.

The goal is to gather potential clients' information based on our location. I need to collect contact info and the name of the person in charge at those companies to effectively pitch our solutions to them. This database will serve as our sales database to target and pitch our services.

I have identified about 1800 company names.

The following are the variables that I would need for each record:

Company Name
Industry
Size (Number of Employees)
Revenue
Generic Email
Generic Phone Number
Website
Core Business Operations
Established Contact Available? (Y/N)
Name
Position
Email
Phone
LinkedIn",/jobs/Need-data-span-class-highlight-Scraped-span-from-web-into_~01d267f44a1182d36e/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;x;o;y",
Zoominfo 200 Mobile Phone Number List Building,3 hours ago,"1,000 mobile phone numbers required of company OWNER each week. This information is commonly contained within tools such as  Zoominfo.              Inputs:
First name
Last name
Email address
Company name

Output:
Mobile phone number",/jobs/Zoominfo-200-Mobile-Phone-Number-List-Building_~013c834cae00275e7e/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;s;B;u;l;d;P;o;e;E;y;G;M;k;R;h",
Lead Generation Specialist for  Lawncare Companies,3 hours ago,"Are you skilled in lead generation and have experience in finding leads for lawncare companies? We are looking for a Lead Generation Specialist to help us find leads for lawncare companies based in the UK. Your main responsibility will be to research and identify potential lawncare companies in the UK and generate high-quality leads. This will involve conducting market research, using various online tools and platforms, and reaching out to lawncare companies via email or phone.",/jobs/Lead-Generation-Specialist-for-Lawncare-Companies_~01a9dbce2582482a08/?referrer_url_path=/nx/search/jobs,,Hourly: $9.00 - $23.00,"D;a;t; ;S;c;r;p;i;n;g;,;L;s;B;u;l;d;e;G;o;E;y;M;k;R;h;P;O;2;+;4",$9.00 - $23.00
Web scraping project for real estate listing website,3 hours ago,Hi I need an experienced web scraper to scrape other real estate listings website listings with full details about the listing + graph data and other text data + some dynamic scraping on city and neighborhood pages and insert all the data to mySql database.,/jobs/Web-span-class-highlight-scraping-span-project-for-real-estate-listing-website_~018ed94e1dde9366b8/?referrer_url_path=/nx/search/jobs,$250.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;W;e;b;E;m;l;L;s;x;o;P;u;F;w;k;C;f;d;G;y;M;+;9",
Email marketing,4 hours ago,We need a lead scraper who can find good quality leads. We aim to get inn Leads for ECOM client and normal clients for IT client we have.,/jobs/span-class-highlight-Email-span-marketing_~01ec124f8752167997/?referrer_url_path=/nx/search/jobs,,Hourly: $14.00 - $35.00,"E;m;a;i;l; ;M;r;k;e;t;n;g;,;C;o;u;c;p;y;w;B;2",$14.00 - $35.00
Recruitment Lead Sourcer,5 hours ago,Looking for someone who can help scrape me emails for HR/Recruitment managers of law firms who have active vacancies in the UK.,/jobs/Recruitment-Lead-Sourcer_~01976a15433ba4bc68/?referrer_url_path=/nx/search/jobs,$50.00,Fixed price,"E;m;a;i;l; ;M;r;k;e;t;n;g;,;D;C;y;L;d;G;o;I;R;c;u;W;s",
